"","lat","long","Countries","Genotype"
"CS76161",48.5167,-4.06667,"France",12
"CS76189",48.6667,-4.06667,"France",19
"CS76160",48.5167,-4.06667,"France",11
"CS76253",46.6667,4.11667,"France",25
"CS76158",47.7,6.81667,"France",10
"CS76107",48.2667,-4.58333,NA,4
"CS76237",55.6,13.2,"Sweden",97
"CS76140",52,5,"Netherlands",292
"CS76240",55.7,13.2,"Sweden",100
"CS76236",55.6,13.2,"Sweden",96
"CS76235",55.6561,13.2178,"Sweden",95
"CS76249",55.7706,14.1342,"Sweden",105
"CS76109",29.2144,-13.4811,"Spain",273
"CS76260",46.6667,4.11667,"France",32
"CS76289",51.2,0.6,"United Kingdom",64
"CS76290",51.3,1.1,"United Kingdom",65
"CS76185",43.5251,-86.1843,"United States of America",47
"CS76229",55.7097,13.0489,"Sweden",92
"CS76143",56.1,13.74,"Sweden",87
"CS76295",56.06,13.97,"Sweden",111
"CS76219",55.7,13.4,"Sweden",91
"CS76131",56.06,14.29,"Sweden",85
"CS76132",56.06,14.29,"Sweden",86
"CS76218",48.5,-1.41,"France",329
"CS76220",42.036,-86.511,"United States of America",330
"CS76226",38.3333,-3.53333,"Spain",335
"CS76230",51.4083,-0.6383,"United Kingdom",336
"CS76293",56.0648,13.9707,"Sweden",341
"CS76294",56.0648,13.9707,"Sweden",342
"CS76296",48.3,14.45,"Austria",343
"CS76298",55.58,14.334,NA,345
"CS76301",47.25,8.26,"Switzerland",346
"CS76303",52.3,30,"Belarus",347
"CS76304",52.3,9.3,"Germany",348
"CS76305",37.45,-119.35,"United States of America",349
"CS76306",49.3853,16.2544,"Czech Republic",350
"CS76213",42.0945,-86.3253,"United States of America",324
"CS76094",49,11,"Germany",264
"CS76100",49.4013,16.2326,"Czech Republic",268
"CS76101",49.2,16.6166,"Czech Republic",269
"CS76105",54.1,-6.2,"United Kingdom",271
"CS76106",41.25,-8.45,"Portugal",272
"CS76113",38.3,-92.3,"United States of America",NA
"CS76116",15.1111,-23.6167,"Cape Verde",278
"CS76127",58.3,25.3,"Estonia",283
"CS76129",40.5,-8.32,"Portugal",285
"CS76136",51.5338,9.9355,"Germany",289
"CS76164",47.984,10.8719,"Germany",301
"CS76175",62.801,18.079,"Sweden",89
"CS76199",51.4083,-0.6383,"United Kingdom",317
"CS22689",41.5609,-86.4251,"United States of America",331
"CS28713",41.5609,-86.4251,"United States of America",246
"CS76227",38.35,68.48,"Tajikistan",259
"CS76244",60,23.5,"Finland",339
"CS76268",41.7194,2.93056,NA,340
"CS76297",49.3,-123,NA,344
"CS76173",48,0.5,"France",305
"CS28788",48.0333,7.7667,"Germany",215
"CS28165",40.12,-8.25,"Portugal",143
"CS28181",40.8585,-73.4675,"United States of America",117
"CS28208",47,5,"France",146
"CS28326",47,15.5,"Austria",162
"CS28336",52.3721,9.73569,"Germany",163
"CS28350",51.3472,8.28844,"Germany",165
"CS28725",49.1833,15.8833,"Czech Republic",204
"CS28779",47.0748,9.9042,"Austria",212
"CS28804",52.3,21,"Poland",221
"CS28823",52.3,30,"Belarus",222
"CS76252",46.6667,4.11667,"France",24
"CS28252",50.5,8.0167,"Germany",155
"CS28645",48.0653,-2.96591,"France",196
"CS28734",51.6832,10.2144,"Germany",201
"CS28739",50.8738,8.02341,"Germany",203
"CS28787",48.0333,7.7667,"Germany",214
"CS28814",52.6,10.0667,"Germany",223
"CS76108",48.2667,-4.58333,NA,5
"CS76163",48.5167,-4.06667,"France",14
"CS76256",46.6667,4.11667,"France",28
"CS76228",43.665,-86.496,"United States of America",52
"CS76273",54.7,-2.7,"United Kingdom",74
"CS76096",47.6479,-122.305,"United States of America",265
"CS28007",50.9167,9.57073,"Germany",127
"CS28013",54.8,-2.4333,"United Kingdom",121
"CS28099",40.0167,8.6667,"Italy",134
"CS28128",50.2981,8.26607,"Germany",137
"CS28236",50.1721,8.38912,"Germany",151
"CS28243",58.3,25.3,"Estonia",153
"CS28277",46.5,6.08,"France",158
"CS28280",50.584,8.67825,"Germany",159
"CS28344",51.25,5.9,"Netherlands",166
"CS28492",50.95,7.5,"Germany",182
"CS28564",51.0581,13.2995,"Germany",187
"CS28573",50.5,8.5,"Germany",183
"CS28595",38.07,13.22,"Italy",193
"CS28651",50.1448,8.60706,"Germany",197
"CS28724",43.0553,141.346,"Japan",200
"CS28729",46.5438,11.5614,"Italy",202
"CS28822",47.9299,10.8134,"Germany",225
"CS76183",47.3833,5.31667,"France",17
"CS76263",46.6667,4.11667,"France",35
"CS76166",55.95,13.85,"Sweden",255
"CS76088",40.31,-3.22,"Spain",261
"CS76093",56.4,12.9,"Sweden",263
"CS76084",42.0945,-86.3253,"United States of America",360
"CS76097",41.6833,2.8,"Spain",266
"CS76098",48,19,"Hungary",267
"CS76102",56.3,16,"Sweden",249
"CS76103",50.5,9.5,"Germany",270
"CS76248",55.7686,14.1381,"Sweden",104
"CS76110",49,0.5,"France",274
"CS76152",50.0667,8.5333,"Germany",353
"CS76117",55.76,14.12,"Sweden",279
"CS76118",49.4112,16.2815,"Czech Republic",280
"CS76124",49.1,16.2,"Czech Republic",84
"CS76130",56.06,14.29,"Sweden",354
"CS76134",53.5,10.5,"Germany",287
"CS76135",46.5,6.08,"France",288
"CS76137",47,15.5,"Austria",290
"CS76141",48.8,17.1,"Slovakia",251
"CS76142",56.1,13.74,"Sweden",293
"CS76145",52.24,9.44,"Germany",295
"CS76146",49.33,15.76,"Czech Republic",252
"CS76147",47.5,11.5,"Austria",296
"CS76149",47,14,"Austria",297
"CS76155",51,7,"Germany",253
"CS76156",55.705,13.196,"Sweden",254
"CS76159",57,-4,"United Kingdom",300
"CS76167",56.1512,15.7844,"Sweden",256
"CS76168",50,19.3,"Poland",302
"CS76169",56,14.7,NA,303
"CS76170",56,14.7,NA,248
"CS76171",52.25,4.5667,"Netherlands",357
"CS76174",56.09,13.9,"Sweden",88
"CS76178",55.71,13.2,"Sweden",308
"CS76195",47.5,1.5,"France",314
"CS76201",56.45,16.11,"Sweden",90
"CS76202",60.25,18.37,"Sweden",319
"CS76204",38.07,13.22,"Italy",321
"CS76210",58,56.3167,"Russia",322
"CS76211",59,29,"Russia",323
"CS76217",49,16,"Czech Republic",328
"CS76222",56.3,34,"Russia",332
"CS76223",62.69,18,NA,333
