"Genotype","Average.halting.duration","Estimated.distance.moved","Estimated.duration.halting","Estimated.duration.halting..duration...180.","Estimated.duration.halting..180....duration...1500.","Estimated.duration.halting..duration....1500.","Estimated.duration.moving","Estimated.duration.moving..duration...10.","Estimated.duration.moving..10....duration...50.","Estimated.duration.moving..duration....50.","Estimated.duration.moving..velocity...0.2.","Estimated.duration.moving..0.2....velocity...0.4.","Estimated.duration.moving..velocity....0.4.","Halt.frequency","Halt.frequency..duration...180.","Halt.frequency..180....duration...1500.","Halt.frequency..duration....1500.","Movement.frequency","Movement.frequency..duration...10.","Movement.frequency..10....duration...50.","Movement.frequency..duration....50.","Movement.frequency..velocity...0.2.","Movement.frequency..0.2....velocity...0.4.","Movement.frequency..velocity....0.4.","Ratio.halting.to.detection.duration","Ratio.movement.to.detection.duration","Ratio.movement.to.halting.duration"
"14",326.37,61.79,4569.56,641.85,2169.17,1758.54,530.24,9.6,184.61,336.03,530.24,0,0,14,11,2,1,13,2,7,4,13,0,0,0.9,0.1,0.12
"14",180.65,37.55,4697.17,862.47,1482.52,2352.18,403.03,44.4,358.63,0,403.03,0,0,26,22,3,1,25,9,16,0,25,0,0,0.92,0.08,0.09
"14",91.55,162.93,3662.49,1191.69,2470.79,0,1437.71,72.81,282.02,1082.88,1437.71,0,0,40,33,7,0,40,16,11,13,40,0,0,0.72,0.28,0.39
"14",53.14,194.34,3188.65,1765.34,1423.31,0,1911.15,71.01,594.85,1245.3,1911.15,0,0,60,56,4,0,59,16,29,14,59,0,0,0.63,0.37,0.6
"14",67.69,138.81,3858.5,1415.11,2443.39,0,1241.7,136.81,437.03,667.85,1241.7,0,0,57,51,6,0,56,27,20,9,56,0,0,0.76,0.24,0.32
"14",307.49,18.25,4920.19,626.85,1522.12,2771.22,180.01,46.8,133.21,0,180.01,0,0,16,12,3,1,15,9,6,0,15,0,0,0.96,0.04,0.04
"76",262.86,45.46,4731.77,234.62,4497.15,0,368.03,48,160.01,160.01,368.03,0,0,18,12,6,0,17,9,6,2,17,0,0,0.93,0.07,0.08
"76",50.71,153.19,3549.88,2469.59,1080.28,0,1550.32,151.61,927.27,471.44,1550.32,0,0,70.01,66.01,4,0,69.01,27,36,6,69.01,0,0,0.7,0.3,0.44
"76",271.59,13.48,4941.79,228.2,2211.12,2502.47,158.41,29.54,69.57,59.3,157.98,0.43,0,18.2,13.91,3.21,1.07,12.84,8.56,3.21,1.07,11.77,1.07,0,0.97,0.03,0.03
"76",104.64,97.96,4185.73,1505.32,2680.41,0,914.47,51.4,504.04,359.03,914.47,0,0,40,35,5,0,39,12,22,5,39,0,0,0.82,0.18,0.22
"76",154.46,59.96,4479.55,330.03,2615.61,1533.92,620.65,48.2,368.23,204.22,620.65,0,0,29,23,5,1,28,9,17,2,28,0,0,0.88,0.12,0.14
"76",319.77,31.16,4796.98,383.03,2436.19,1977.76,303.22,19.2,219.42,64.61,303.22,0,0,15,9,5,1,14,5,8,1,14,0,0,0.94,0.06,0.06
"138",220.83,64.26,4416.95,351.43,2368.39,1697.13,650.65,36.6,129.61,484.44,650.65,0,0,20,16,3,1,18,7,6,5,18,0,0,0.87,0.13,0.15
"138",391.2,112.12,4303.54,189.41,0,4114.12,796.26,3.6,113.01,679.65,796.26,0,0,11,9,0,2,11,1,4,6,11,0,0,0.84,0.16,0.19
"138",145.99,188.14,4087.92,811.66,3276.26,0,1011.88,35.8,353.83,622.25,596.45,415.43,0,28,24,4,0,28,7,14,7,24,4,0,0.8,0.2,0.25
"138",222.73,14.36,4900.38,993.28,3907.11,0,199.42,76.41,123.01,0,199.42,0,0,22,17,5,0,21,14,7,0,21,0,0,0.96,0.04,0.04
"138",53.95,589.73,2373.79,1202.89,1170.89,0,2726.41,30.2,524.64,2171.57,955.27,1771.14,0,44,39,5,0,45,6,22,17,30,15,0,0.47,0.53,1.15
"138",91.28,175.62,3834.1,1176.89,2657.21,0,1265.7,60.6,439.43,765.66,1265.7,0,0,42,36,6,0,41,12,19,10,41,0,0,0.75,0.25,0.33
"138",185.17,28.82,4629.56,604.25,1397.71,2627.61,390.83,60.2,262.02,68.61,390.83,0,0,25,21,3,1,23,10,12,1,23,0,0,0.91,0.08,0.08
"93",609.28,10.83,4961.37,248.97,0,4712.39,138.43,18.93,119.5,0,138.43,0,0,8.14,6.11,0,2.04,8.14,4.07,4.07,0,8.14,0,0,0.97,0.03,0.03
"93",53.5,131.86,3798.7,1864.75,1933.95,0,1301.1,174.01,872.47,254.62,1255.3,45.8,0,71.01,65.01,6,0,71.01,32,35,4,70.01,1,0,0.74,0.26,0.34
"93",93.71,161.01,3842.3,1384.71,2457.59,0,1257.5,91.61,435.03,730.86,1151.49,106.01,0,41,36,5,0,40,14,18,8,38,2,0,0.75,0.25,0.33
"93",244.99,37.69,4655.17,534.24,4120.92,0,444.63,36,268.82,139.81,444.63,0,0,19,12,7,0,18,7,9,2,18,0,0,0.91,0.09,0.1
"93",105.6,70.34,4330.14,1349.91,615.25,2364.99,770.06,132.41,397.23,240.42,770.06,0,0,41,37,3,1,41,22,15,4,41,0,0,0.85,0.15,0.18
"93",25.18,432.33,2291.58,2012.36,279.22,0,2808.62,166.21,1083.48,1558.92,2207.77,600.85,0,91.01,90.01,1,0,91.01,29,43,19,82.01,9,0,0.45,0.55,1.23
"93",302.87,66.79,4543.36,624.45,408.83,3510.08,556.84,15,181.61,360.23,556.84,0,0,15,12,1,2,14,3,7,4,14,0,0,0.89,0.11,0.12
"210",1253.75,11.39,5015.39,104.81,0,4910.59,84.41,11.4,0,73.01,84.41,0,0,4,3,0,1,3,2,0,1,3,0,0,0.98,0.02,0.02
"210",32.43,517.28,2172.77,1796.14,376.63,0,2927.43,80.81,1006.68,1839.94,1741.74,1185.69,0,67.01,66.01,1,0,66.01,11,34,21,48,18,0,0.43,0.57,1.35
"210",63.17,137.27,3917.11,1991.76,1925.35,0,1183.09,112.21,733.26,337.63,1171.29,11.8,0,62,57,5,0,61,24,31,6,60,1,0,0.77,0.23,0.3
