"Genotype","Dim_0","Dim_1","Dim_2","Dim_3","Dim_4","Dim_5","Dim_6","Dim_7","Dim_8","Dim_9"
1,0.0269648403239747,0.0142943569614242,0.0333841040264815,0.0385311727101604,0.0348820006474853,0.00860376789933071,0.0128378255758435,-0.0773688678940137,0.0147123891705026,0.0100694346474484
2,0.0360462057093779,0.0134633080257724,0.0477373218163848,0.0327613397190968,0.0404196538341542,0.0155850273246566,0.0260714733352264,-0.0790568503240744,0.00367791159078479,0.0184604151484867
4,0.0513480752706528,0.0118178434592361,0.0333833182230592,0.0295500542658071,0.0280666782831152,0.0165110494708642,0.0168109615333378,-0.0825932721296946,0.0139728326757904,-0.00232166897815963
5,0.0278289779089391,0.00864739871273438,0.0353968534618616,0.0280981678515673,0.049909179409345,0.0105439380276948,0.0297589941571156,-0.0762464118500551,0.0329590992769226,0.0243115625344217
7,0.0241834350551168,0.0164751961516837,0.0245746923610568,0.043428280390799,0.045785439821581,0.0110552457626909,0.03046312648803,-0.0732172466814518,0.0105582221391766,0.0151451743634728
8,0.0348865357892854,0.00389651990761714,0.0310892465391329,0.0379545225628785,0.0348836827491011,0.00523236670207033,0.0238476802728006,-0.0761561276657241,0.0341759997286967,0.0237367380676525
9,0.0507752845684687,-0.000563975928040842,0.047164604999125,0.057289673636357,0.0216470506663124,0.00897358402532215,0.0145129459366823,-0.0758081513146559,0.0233087173352639,0.00950255601977309
10,0.0304651710515221,0.0160907039729257,0.0152814763860079,0.0365727950508396,0.0393927505550285,0.00578105238188679,0.0118216101545841,-0.0784162320196629,0.0197991385745506,0.0147526153402093
11,0.0411953578392665,0.0120024372590706,0.0452408504982789,0.0356287970207632,0.0142004099131251,0.00605706969993965,0.0185307837479437,-0.0741773582994938,0.00843632527782271,0.00270981952780858
12,0.0267257764935493,0.00451251001795754,0.0141438905149698,0.0400985181331635,0.0237791249528527,0.0186921873129904,0.0224959831684828,-0.0832758963108063,0.0186505187302828,0.0154002911411226
13,0.0149786268360913,0.00843556113541126,0.0284890335053205,0.0438969299197197,0.0212157589383423,0.0142659360542893,0.0276598036289215,-0.072578889131546,0.00126940928967088,0.0274086482822895
14,0.0243830454225341,0.000902555378464361,0.0203618355250607,0.0405979125450055,0.0151621828166147,0.00397601954561348,0.031096569262445,-0.0817706771194935,0.0271142887262007,0.0230500055477023
15,0.042616612277925,0.026784646101684,0.0193322856988137,0.0363456007714073,0.0449828654527664,0.00917479308554903,0.0169687466307854,-0.0768477072318395,0.0445907379811009,0.00552594660742519
16,0.0359235216996499,0.0345048390861068,0.0281318278451051,0.0475210590021951,0.0148719883124743,0.0071374380162784,0.014893313104819,-0.080360301903316,0.0325917660125664,-0.00227881971347545
17,0.0459899336099625,0.0137365181930363,0.0158818159718066,0.0262342762202024,0.0355840696021914,0.0237987011671066,0.0264005526900291,-0.0785021215677261,0.0152056942431955,0.0212706951424479
18,0.0544403396546841,0.0131791558815166,0.0354407094419003,0.0304838608950376,0.0140412622131407,0.028554518148303,9.97738214209676e-05,-0.0814382672309875,0.0178941846825182,0.00356290517374873
19,0.0482322052121162,0.0154652926139534,0.0466939030836026,0.0382177764549851,0.0121890960726887,0.0177599261514843,0.00636694856317869,-0.0698125554869572,0.0214825595418612,0.0121021619221816
20,0.0286562064041694,0.0410599491248528,0.0415539753933748,0.047915172452728,0.0437274498399347,0.027752454392612,0.0137937886174768,-0.0729669071733952,0.00317077936294178,0.00848790207722535
21,0.0129012112904872,0.0176681349320071,0.0293043199926615,0.0563258986387934,0.0306571704734649,0.0234189489191132,0.0278211424925498,-0.0729203681860651,0.0302684663661889,0.0242084211536816
22,0.0494892001152039,0.00538103825723131,0.0180895367326836,0.0366283527885874,0.0196315078064799,0.0154631414916366,0.0201137484206508,-0.0774830641845862,0.0334293991327286,0.0167069254869906
23,0.0342281041666865,0.0206668077347179,0.0558695687601964,0.0399639063204328,0.0110036293820788,0.0117891110518637,0.0168013326668491,-0.0762166380882263,0.0148987221764401,0.00257756706560031
24,0.0430719166994095,0.0186515826266259,0.0170935662463307,0.0397620752453804,0.0167223166674376,0.0184483361430466,0.00263778148218989,-0.0814648523926735,0.024543269793503,0.00448276477400214
25,0.0221697934237974,0.0178259184051837,0.0346038056803601,0.0236717366081263,0.0211918416566082,0.0124518160841295,0.0302482272631356,-0.0780775068061692,0.0425456094422511,0.0142294017464987
27,0.0320815898788472,0.0227114979643375,0.0358130251988769,0.0308270381453137,0.0214385131063561,0.0190209676511586,0.0382862761616707,-0.0780912339687347,0.0147992482719322,-0.00208318237370501
30,0.0381147588292758,0.00302563788864063,0.0164448283612728,0.0395133011043072,0.0328232559065024,0.0103443921931709,0.0261374019707243,-0.0773206142087777,0.0162215409024308,0.00864943916288515
31,0.0552763553957144,0.00914632831700146,0.022578403664132,0.042360307648778,0.0440746949364742,0.0111633355457646,0.0141253385712237,-0.0805712242921193,0.0223584679188207,0.0117399592418224
32,0.0423590379456679,0.00343234487809241,0.0374997835606337,0.049089767349263,0.0229313385983308,0.00434278254397213,0.00769598401772479,-0.0802620972196261,0.0360000195602576,0.00730103933407615
33,0.0406193264449636,0.0152021776884794,0.044143535507222,0.0309015664582451,0.0232522534594561,0.0188916663949688,0.012906058410105,-0.0763505635162195,0.0584354406843583,0.00761978822993115
34,0.0338274041811625,0.0282497147175794,0.0275958480002979,0.0606549475342035,0.0213147935767968,0.00402362031551699,0.0439001098275185,-0.070862519244353,0.0258580615433554,0.01012510136934
35,0.0201756951399148,0.0114520044997334,0.034947819635272,0.0410227663815022,0.0383412431925535,0.00770991735626012,0.0321594849228859,-0.0804598912596703,0.0120915522798896,0.0251554876565933
36,0.0485064803312222,0.0260036593923966,0.0406059340263406,0.0507767473657926,0.0175267867743969,0.0123576801658298,0.0149658713877822,-0.0800216272473335,0.0135535454028286,0.00642913866613526
37,0.0565684270113707,0.0282396525144577,0.04116733931005,0.0459789993862311,0.0184934805923452,0.00212642593154063,0.0420814584940672,-0.0736569911241531,0.0404854643469056,0.0103953851891371
38,0.0187546732569379,0.0049015277597521,0.0383241014289004,0.0503228828310966,0.020971252183829,0.00653725318027552,0.0441980388547693,-0.0713963519249644,0.00248421361071191,0.0141774171165058
39,0.0365256446724137,0.0183959074396019,0.0460437790801128,0.0367578081786633,0.00723471007465074,0.00208386450928325,0.0339748337864876,-0.0706880365808805,0.0142474079232973,0.0178320648459097
40,0.0565520964562893,0.0217355083674192,0.0138076090719551,0.0315114807337522,0.0278952240012586,0.00728815421462059,0.0334127569571137,-0.0769660428166389,0.00963506051339209,0.0103158321464434
41,0.0465762230257193,0.00908577711864685,0.0192901380360126,0.0399126568809152,0.0116210737614892,0.0244094855152071,0.00623138842638582,-0.0734635305901368,0.0189644372633969,0.0156823929476862
42,0.0551086411412273,0.00893537430757923,0.0228525107460363,0.0476728757577283,0.0207761077742491,0.0113491599581071,0.0209366643269147,-0.0762432664632797,0.0500586690115077,0.00444317472699497
43,0.0297225784510374,0.01720582973212,0.0194716105237603,0.0295450363308191,0.0359744191169739,0.00976272891275585,0.0285576846450567,-0.0779060855507851,0.0345505248755217,0.00312635349109769
44,0.0477423667907715,0.0109467434591958,0.0360277326932798,0.0523992544040084,0.0427532928685347,0.0123920796710687,0.00791214166868789,-0.0795804013808568,0.00683193425356876,0.00406551857789357
46,0.0489255035562175,0.0100741896312684,0.017866220990462,0.0407812081809555,0.033343096795891,0.0206884391871946,0.029751035650926,-0.0831844838602202,0.0186778575714145,-0.00185143194227879
47,0.0431327007710934,0.007975371228531,0.0391076773405075,0.0283663403242826,0.0265630263835192,0.0161830646917224,0.000788914249278605,-0.0753919869661331,0.0347840078175068,0.0274140775203705
48,0.0342438079416752,0.0295095494017005,0.0272940929979086,0.0263708784244955,0.0240497192367911,0.0156305527314544,0.0353320382535458,-0.0800450824201107,0.0271133095026016,0.0319574110209942
49,0.0179800305515528,0.0146296362392604,0.0225976776331663,0.0351525563746691,0.0163286214694381,0.0147324146702886,0.0135163266211748,-0.0812716335058212,0.0360585857182741,0.0134268208406866
50,0.0508198399717609,0.00350992542977716,0.032620162392656,0.0345411595577995,0.0238622850738466,0.00764103047549725,0.0199385369196534,-0.0810891141494115,0.0171036765483829,0.0208231356615822
51,0.0578097018102805,0.0245450362563133,0.0133253117091954,0.0476722947011391,0.0137447204518442,0.00708999872828523,0.0373557200655341,-0.0761860596636931,0.0317133481924733,0.00397094509874781
52,0.0415862857674559,0.0275376442975054,0.0280125210992992,0.0625096789250771,0.0223510869157811,0.0120128123089671,0.0332134052490195,-0.0823329550524553,0.0252802312994997,0.00276844044371198
53,0.0391133078373969,0.0153542032154898,0.0515603969494502,0.0405158645783862,0.0073411522898823,0.0209433035925031,0.0194011001537244,-0.0757738625009855,0.0176430080706875,-0.00261749156925362
54,0.0340925720520318,0.0397248460600773,0.0346355134000381,0.0356179686884085,0.024115914478898,0.0196388874125356,0.0411015351613363,-0.0737307108938694,0.0169544861807177,0.0270925887549917
55,0.0281758895143867,0.0212718869249026,0.0504866410046816,0.0485850585003694,0.0281223476243516,0.00228877577076977,0.0279868058860302,-0.0692414653797944,0.0179798091606547,0.028536435837547
57,0.0457925833761692,0.0176857123151422,0.0233666755569478,0.0338082248345017,0.0222717736226817,0.0302157673674325,0.0123538398183882,-0.0792917553335428,0.0161189082233856,0.00781695808594426
58,0.0454620973517497,0.0331728495657444,0.0294993311787645,0.0548623198022445,0.0143802990205586,0.0201799479934076,0.0384402781104048,-0.0784402117133141,0.0187036620142559,0.000505161626885335
