"Genotype","Dim_0","Dim_1","Dim_2","Dim_3","Dim_4","Dim_5","Dim_6","Dim_7","Dim_8","Dim_9"
1,0.0269648403239748,0.0142943569614249,0.0335585256662758,0.0385311727101607,0.0348741595351301,0.00860376789933085,0.0126247549861336,-0.0775439848663864,0.0147594176575382,0.0101639156244478
2,0.0360462057093779,0.0134633080257724,0.0476687243022368,0.0327613397190968,0.0404248937367093,0.0155850273246567,0.0257562492648465,-0.079069661176809,0.00346440518857849,0.0184481483177753
4,0.0513480752706528,0.0118178434592361,0.0333570924248991,0.0295500542658071,0.0280933370943728,0.0165110494708643,0.0168312992599348,-0.0827056608682001,0.0141275977348255,-0.00235879418641056
5,0.0278289779089391,0.00864739871273439,0.0352988810796092,0.0280981678515673,0.049925025255778,0.0105439380276948,0.0298734259143396,-0.0761644881726023,0.0328442703755873,0.0242467828710934
7,0.0241834350551168,0.0164751961516837,0.0245321828315851,0.043428280390799,0.0457879258723334,0.0110552457626909,0.030576825880021,-0.073437562667891,0.0105046358554013,0.0153867215733658
8,0.0348865357892854,0.00388585265353071,0.0311346016320488,0.0379545225628785,0.034884548821906,0.00523236670207033,0.0238532825399351,-0.0762973366864396,0.0343069338139221,0.0238271054476011
9,0.0507752845684687,-0.000541451074341292,0.0470025559314332,0.057289673636357,0.0216497912934528,0.00897358402532216,0.0141323094631784,-0.075413950600027,0.0233406857436753,0.00961059780385325
10,0.0304651710515221,0.0160907039729258,0.015247860065971,0.0365727950508396,0.0393715948001109,0.0057810523818868,0.0120087464223477,-0.0783817205312281,0.019723577251781,0.0146465544290069
11,0.0411953578392665,0.0120024372590706,0.0452453360431804,0.0356287970207632,0.0142192725830354,0.00605706969993966,0.018504206282663,-0.0742684269480511,0.00823442251214953,0.00273225949364172
12,0.0267257764935494,0.00453740733255379,0.0141662804931058,0.0400985181331635,0.0237583902588461,0.0186921873129904,0.0226585510899265,-0.0832403148649177,0.0185276117297229,0.0153473455185803
13,0.0149786268360913,0.00847752511557174,0.028454783776822,0.0438969299197197,0.0212148676457391,0.0142659360542893,0.0274647053732353,-0.0722142943045255,0.00113442855124646,0.0275486515298695
14,0.0243830454225342,0.000902555378464375,0.0204396409490701,0.0405979125450055,0.0151540646187176,0.00397601954561348,0.0312934861281859,-0.0816363125404143,0.0272919123423473,0.0230453867718736
15,0.042616612277925,0.026784646101684,0.019444307581313,0.0363456007714073,0.0449852359050251,0.00917479308554903,0.0167230905600976,-0.0769886994822132,0.0446133380686825,0.00577993265332005
16,0.0359235216996499,0.0344710718556471,0.0280672542831427,0.0475210590021951,0.0148670280704892,0.00713743801627841,0.015052894658853,-0.0805061535151012,0.0322953242990825,-0.00217723103771025
17,0.0459899336099625,0.0137052090828983,0.0158917941291398,0.0262342762202024,0.0356044674809815,0.0237987011671066,0.0264557046269067,-0.0784026414791736,0.0152089243243773,0.0213523261622268
18,0.0544403396546841,0.0132211198616771,0.0354571829266427,0.0304838608950377,0.014053558449039,0.028554518148303,7.68239399342244e-05,-0.08102791282415,0.0182318889072595,0.00383250975636606
19,0.0482322052121162,0.0154652926139534,0.0466876729492061,0.0382177764549851,0.0122012670269149,0.0177599261514843,0.00611493997287632,-0.069917613878061,0.0215183991986466,0.0121601403088784
20,0.0286562064041694,0.0410599491248528,0.0415082056688374,0.047915172452728,0.0437358949304151,0.027752454392612,0.0136170322665396,-0.0729202679487695,0.0033175256653725,0.00859180886302622
21,0.0129012112904872,0.0176574676779207,0.0291908141130995,0.0563258986387934,0.0306613022454988,0.0234189489191132,0.0277241313459049,-0.0730044330423994,0.0302637512640878,0.0242063791891407
22,0.0494892001152039,0.00538103825723132,0.0181567344920496,0.0366283527885874,0.0196317127431956,0.0154631414916366,0.0200714196913528,-0.0772904769303674,0.0335314074029893,0.0165951055759294
23,0.0342281041666865,0.0206668077347179,0.0558486687440213,0.0399639063204328,0.0110062456686908,0.0117891110518637,0.0165227401799923,-0.0762568909144733,0.0149518410757792,0.00253804176022522
24,0.0430719166994095,0.0186935466067864,0.0171075521453441,0.0397620752453804,0.0167111734880559,0.0184483361430466,0.00237697460441776,-0.0811674792819006,0.024601911577465,0.00457834120971068
25,0.0221697934237974,0.0178642654896019,0.0344994883811036,0.0236717366081263,0.021206793978982,0.0124518160841295,0.0306873329316609,-0.0781196669323851,0.0425659274844858,0.0141027829500667
27,0.0320815898788472,0.0227114979643375,0.0357677618584469,0.0308270381453137,0.021454162548131,0.0190209676511586,0.0383850431201041,-0.0780818095949019,0.0147995551735312,-0.00214848760211768
30,0.0381147588292758,0.00302563788864064,0.0165811377210396,0.0395133011043072,0.0328251227341686,0.0103443921931709,0.0261347943115832,-0.0770803536335807,0.0164912888245983,0.00859674329964147
31,0.0552763553957144,0.00914632831700148,0.0225599252809388,0.042360307648778,0.0440967470295485,0.0111633355457646,0.0142019299971985,-0.0806638192046736,0.0223253783033528,0.0116744630880029
32,0.0423590379456679,0.00343234487809242,0.0375771868804309,0.049089767349263,0.0229315345514607,0.00434278254397214,0.00752270176659224,-0.0803162233315719,0.0360932055230978,0.00714083764728788
33,0.0406193264449636,0.0152021776884794,0.0441033100838467,0.0309015664582451,0.0232423936622224,0.0188916663949688,0.0128283738701609,-0.0761985712135321,0.05820843226774,0.00772354969229464
34,0.0338274041811625,0.0282497147175794,0.027598258187657,0.0606549475342035,0.0213194466759083,0.004023620315517,0.0440064898460261,-0.0709441541078948,0.0258181496251623,0.00987441532348785
35,0.0201756951399148,0.0114552040775792,0.0348769698895726,0.0410227663815022,0.038347777383816,0.00770991735626012,0.0320590845357167,-0.0805532434394742,0.0119537503525159,0.0250218850004741
36,0.0485064803312222,0.0260036593923966,0.040557146319184,0.0507767473657926,0.0175113776459219,0.0123576801658298,0.0147573569241912,-0.0800012356632429,0.0134192103895524,0.00641467968292963
37,0.0565684270113707,0.0282396525144577,0.0411884502524678,0.0459789993862311,0.0184947451819277,0.00212642593154064,0.0420794220559341,-0.0736649141365125,0.0405324075763445,0.0103006590232632
38,0.0187546732569379,0.00489924234700518,0.0384219754371473,0.0503228828310966,0.0209738900855686,0.00653725318027552,0.0443983922347637,-0.0712661598866913,0.00262279315910134,0.0142318528740493
39,0.0365256446724137,0.0183959074396019,0.0459622839832683,0.0367578081786633,0.00726076292506442,0.00208386450928326,0.0339226858096653,-0.070892205018614,0.0140212259084122,0.0177048036318684
