"","trait","pValue"
"1","Average.halting.duration",0.000125366634426727
"2","Average.halting.duration..duration...180.",0.398115174494073
"3","Average.halting.duration..180....duration...1500.",0.270976934282341
"4","Average.movement.distance",0.0348795625316358
"5","Average.movement.duration",0.0451821407297502
"6","Average.movement.duration..duration...10.",0.588430823140238
"7","Average.movement.duration..10....duration...50.",0.456410350535214
"8","Average.movement.duration..duration....50.",0.786053245442786
"9","Average.velocity",0.0676757503799877
"10","Estimated.distance.moved",5.12444097052274e-05
"11","Estimated.duration.halting",0.00397030461120055
"12","Estimated.duration.halting..duration...180.",2.39065246785607e-06
"13","Estimated.duration.halting..180....duration...1500.",0.958394277978425
"14","Estimated.duration.moving",1.79797801587716e-05
"15","Estimated.duration.moving..duration...10.",0.000156210589385199
"16","Estimated.duration.moving..10....duration...50.",2.71897805700612e-05
"17","Estimated.duration.moving..duration....50.",0.00126764040028066
"18","Estimated.duration.moving..velocity...0.2.",8.39724766828546e-06
"19","Halt.frequency",0.000114520328386275
"20","Halt.frequency..duration...180.",1.76209644318826e-05
"21","Halt.frequency..180....duration...1500.",0.346081427166452
"22","Movement.frequency",1.12862175179531e-05
"23","Movement.frequency..duration...10.",0.000186484529930774
"24","Movement.frequency..10....duration...50.",2.30367437910902e-05
"25","Movement.frequency..duration....50.",0.000227161861531535
"26","Movement.frequency..velocity...0.2.",9.75544346809636e-06
"27","Ratio.halting.to.detection.duration",0.00389767411210598
"28","Ratio.movement.to.detection.duration",0.00010243741314183
"29","Ratio.movement.to.halting.duration",9.41734333999045e-05
