"","repeatability","gen.variance","res.variance","line.repeatability","average.number.of.replicates","lower","upper"
"Average.halting.duration",0,0,404660.933278917,FALSE,6.0081385931296,0,0.022789335880018
"Estimated.distance.moved",0,0,29299.1348604992,FALSE,6.0081385931296,0,0.0216570342667971
"Estimated.duration.halting",0.0095187998890768,5254.15551101683,546722.519305541,FALSE,6.0081385931296,0,0.0396967654679765
"Estimated.duration.halting..duration...180.",0.0283370235065155,8251.26539066085,282931.941933977,FALSE,6.0081385931296,0.000759311925348609,0.0605165495932399
"Estimated.duration.halting..180....duration...1500.",0,0,1504558.50003577,FALSE,6.0081385931296,0,0.00769634820548064
"Estimated.duration.halting..duration....1500.",0.0301597679222964,80739.3793144658,2596316.34347765,FALSE,6.0081385931296,0.00240744811312882,0.0625271220768819
"Estimated.duration.moving",0.00887883841501426,4809.6943865809,536893.416061699,FALSE,6.0081385931296,0,0.0389867291157269
"Estimated.duration.moving..duration...10.",0,0,12853.6323836509,FALSE,6.0081385931296,0,0.025031772804247
"Estimated.duration.moving..10....duration...50.",0.0118608680922648,933.521578897113,77772.4864160761,FALSE,6.0081385931296,0,0.0422941586365245
"Estimated.duration.moving..duration....50.",0.00749269891204638,2140.29441871203,283510.369492389,FALSE,6.0081385931296,0,0.0374483553332141
"Estimated.duration.moving..velocity...0.2.",0.0230775897236782,6570.29033825758,278134.066439361,FALSE,6.0081385931296,0,0.0547091754839035
"Estimated.duration.moving..0.2....velocity...0.4.",0,0,101157.18553946,FALSE,6.0081385931296,0,0.0202226270303774
"Estimated.duration.moving..velocity....0.4.",0,0,26316.0356994131,FALSE,6.0081385931296,0,0.0149659253841242
"Halt.frequency",0,0,5152.23038332667,FALSE,6.0081385931296,0,0.0262328029593122
"Halt.frequency..duration...180.",0,0,5174.13938978002,FALSE,6.0081385931296,0,0.0257028880484554
"Halt.frequency..180....duration...1500.",0,0,3.6445437577785,FALSE,6.0081385931296,0,0.0286219199740059
"Halt.frequency..duration....1500.",0.0191351852508357,0.00730236459282048,0.374317384424324,FALSE,6.0081385931296,0,0.0503502160230392
"Movement.frequency",0,0,5202.04680866945,FALSE,6.0081385931296,0,0.0263603624254342
"Movement.frequency..duration...10.",0,0,4854.29372398984,FALSE,6.0081385931296,0,0.0276289759519612
"Movement.frequency..10....duration...50.",0.0109000491472692,1.38289078901835,125.487251752019,FALSE,6.0081385931296,0,0.0412288085274395
"Movement.frequency..duration....50.",0.00408092501160061,0.111071623449466,27.1061948378869,FALSE,6.0081385931296,0,0.0336592315982199
"Movement.frequency..velocity...0.2.",0.000599753887977752,0.928199619136042,1546.70598457222,FALSE,6.0081385931296,0,0.0297891487454837
"Movement.frequency..0.2....velocity...0.4.",0,0,32.3723460804644,FALSE,6.0081385931296,0,0.00930479115921897
"Movement.frequency..velocity....0.4.",0,0,1194.80487295783,FALSE,6.0081385931296,0,0.0289492116155769
"Ratio.halting.to.detection.duration",0.00993438779822985,0.000210479443570462,0.020976477200901,FALSE,6.0081385931296,0,0.0401577887844849
"Ratio.movement.to.detection.duration",0.00920951329420834,0.000191603955711748,0.0206133994783181,FALSE,6.0081385931296,0,0.0393536289548508
"Ratio.movement.to.halting.duration",0,0,0.223756030655486,FALSE,6.0081385931296,0,0.014772041002133
