"","R^2"
"Average.halting.duration",0.00155787951294146
"Estimated.distance.moved",0.00196014069214326
"Estimated.duration.halting",0.00620850407517339
"Estimated.duration.halting..duration...180.",0.0094351687101377
"Estimated.duration.halting..180....duration...1500.",0.000119762035013216
"Estimated.duration.halting..duration....1500.",0.00356049253906858
"Estimated.duration.moving",0.00618549300486665
"Estimated.duration.moving..duration...10.",0.00282570479853522
"Estimated.duration.moving..10....duration...50.",0.0063538747732259
"Estimated.duration.moving..duration....50.",0.00304106822205984
"Estimated.duration.moving..velocity...0.2.",0.00880061571374461
"Estimated.duration.moving..0.2....velocity...0.4.",0.000787868897696367
"Estimated.duration.moving..velocity....0.4.",3.90429705845723e-05
"Halt.frequency",0.00208769851386584
"Halt.frequency..duration...180.",0.00209397772245136
"Halt.frequency..180....duration...1500.",0.000137934717535638
"Halt.frequency..duration....1500.",0.00298412621365227
"Movement.frequency",0.0022194072522558
"Movement.frequency..duration...10.",0.000844368414747932
"Movement.frequency..10....duration...50.",0.00779234081337267
"Movement.frequency..duration....50.",0.00550989560142554
"Movement.frequency..velocity...0.2.",0.00414930574161528
"Movement.frequency..0.2....velocity...0.4.",0.00137079403254672
"Movement.frequency..velocity....0.4.",0.00035806422118569
"Ratio.halting.to.detection.duration",0.00627229929093142
"Ratio.movement.to.detection.duration",0.0061938848647891
"Ratio.movement.to.halting.duration",0.00264169265701884
