"Genotype","Dim_0","Dim_1","Dim_2","Dim_3","Dim_4","Dim_5","Dim_6","Dim_7","Dim_8","Dim_9","Dim_10","Dim_11","Dim_12","Dim_13","Dim_14","Dim_15","Dim_16","Dim_17","Dim_18","Dim_19","Dim_20","Dim_21","Dim_22","Dim_23","Dim_24","Dim_25","Dim_26","Dim_27","Dim_28","Dim_29","Dim_30","Dim_31","Dim_32","Dim_33","Dim_34","Dim_35","Dim_36","Dim_37","Dim_38","Dim_39","Dim_40","Dim_41","Dim_42","Dim_43","Dim_44","Dim_45","Dim_46","Dim_47","Dim_48","Dim_49"
1,6.27115384737651,5.66906388600667,-2.13713443279266,0.442611212531726,0.567844033241272,0.732763806978861,0.435748820503553,0.386924979587396,-1.82052222887675,0.390016689896584,0.262398074070613,0.262467889736096,0.344539980093638,0.400069256623586,0.18509624650081,0.505465070406596,0.168379625305533,0.320962443947792,0.597163942952951,0.749722858270009,-0.11792748918136,0.436245967944463,-2.56074885527293,-2.35070049762726,-1.11063059171041,0.00352604454383254,0.00503019957492749,0.00274275926252206,0.00327917828690261,0.00327170213373999,0.00357175932731479,0.00544132319434236,0.00588631280697882,0.00372196390526369,0.00355029337030525,0.00491321455532064,0.00283321278402582,0.0039222397414657,0.00328376685502008,0.00339523553460216,0.00354958248014251,0.00492171745281667,0.00194184443292518,0.00529354954293619,0.00315680832136422,0.00477901291257391,0.00233643209018434,0.00239213860671346,0.00591145638221254,0.00445956201292574
2,6.41534884770711,6.78205267588298,-1.97091446320216,0.628649731477102,0.462402984499931,0.373475909233093,0.225423117478689,0.409395600358645,-1.96043006579081,0.476807147264481,0.668666303157806,0.827347705761592,0.638233969608943,0.673436149954796,0.521988933285077,0.420624266068141,0.25317378838857,0.367894746363163,0.410965291162332,0.752912869056066,-0.312685148169597,0.324151081343492,-2.70835268497467,-2.5895273288091,-1.37830460071564,0.00202802980008225,0.00425612185305605,0.00167797787192588,0.00244712431837494,0.00238084703839074,0.00179286856049051,0.00368955863329271,0.00314283349628871,0.00231270212680101,0.00283345069813853,0.00337217730702832,0.00211992050753906,0.00329216156387702,0.00250149524072185,0.0026797879448471,0.00206687588555117,0.00267075545464953,0.00119388873766487,0.00286358969363694,0.00184940409963019,0.00328484928468242,0.001399381076529,0.00194965881140282,0.00394736424398919,0.00316596688935533
4,6.24189186096191,6.52386522293091,-2.21814767519633,0.552731618285179,0.592175458868345,0.668989698092143,0.464053918917974,0.485577717423439,-1.93865060806274,0.508035535613696,0.531874189774195,0.718335474530856,0.600778316458066,0.38533944884936,0.390378154814243,0.316402162114779,0.0648604047795137,0.268592248360316,0.380559379855792,0.491124391555786,-0.460091695189476,0.370977602899075,-2.68734852472941,-2.34570892651876,-0.876897921164831,0.00281397375511006,0.00531593372579664,0.00250740518094972,0.0032393533232001,0.00318203788871566,0.00269346870481968,0.0057846091222018,0.00506724370643497,0.0032857310725376,0.00398039577218394,0.00413018957866977,0.00264209885305415,0.00378715052890281,0.00312088100084414,0.00319553513933594,0.00252326709839205,0.00302055408246815,0.00133528808752696,0.0032325855960759,0.00183523851834858,0.00422395230270922,0.00158723384568778,0.00224356052543347,0.00483305181842297,0.00437879919384917
5,6.74572094281514,6.47085396448771,-2.27489256858826,0.461717252930005,0.410138035813967,0.410062310596307,0.283241604765256,0.285055331885815,-1.9054236014684,0.641381998856862,0.497198204199473,0.519433631872137,0.668130104740461,0.684185887376467,0.557853937149048,0.488234361012777,0.173138022422791,0.420217871665955,0.652962813774745,0.692414152125517,-0.511466340472301,0.267293577392896,-2.65379420916239,-2.50266206264496,-1.11269853512446,0.00222868765316283,0.00444109947420657,0.0019587656618872,0.00236621972483893,0.0025221480949161,0.00218724403142308,0.00430572277400643,0.00385988476530959,0.00267672441744556,0.00305407925043255,0.00382077521256482,0.00257237901678309,0.00379190834549566,0.00303006649482995,0.00369932102815559,0.00273437080128739,0.00334034161642194,0.00129588876734488,0.00304179751159002,0.00192075265416255,0.00372712830236802,0.00143657820687319,0.00197177382263665,0.00470694142859429,0.00326059114498397
7,6.07257501284281,5.88838148117065,-2.02804803848267,0.675900623202324,0.533508689453205,0.56653680279851,0.472641776005427,0.668189525604248,-1.89273718992869,0.47599104543527,0.510786046584447,0.477555381755034,0.530804852644602,0.531780893603961,0.428461889425914,0.38535612821579,0.293142478292187,0.540912463019292,0.694030163188775,0.868018090724945,-0.164905723184347,0.356430195271969,-2.76971936225891,-2.53617179393768,-1.19689037899176,0.00233673040444652,0.00380111249008526,0.0017375466801847,0.00227984444548686,0.00217957251394788,0.00244617792001615,0.00431790195095042,0.00436465430539101,0.00252073867401729,0.00272090603054191,0.00333450459099064,0.00215052810381167,0.0028473781227755,0.00226501024250562,0.00284388395569598,0.00218539252333964,0.00336335248236234,0.00139948053401895,0.00359349814243615,0.00203153013717383,0.00394633581163362,0.00159280388227974,0.00178880354117913,0.00450586221025636,0.00352444618086641
8,6.02204513549805,5.94058854239328,-2.39978809016091,0.313235363789967,0.446650837148939,0.551835867975439,0.368188279015677,0.371305461440768,-1.89361749376569,0.389780091387885,0.426564301763262,0.582017218960183,0.604951275246484,0.506907258714948,0.318791122308799,0.366306926522936,0.267914900290115,0.515176756041391,0.637693428567478,0.761238032153675,-0.223982145743711,0.521437193666186,-2.39565665381295,-2.26987319333213,-1.08076739311218,0.00270886384948556,0.00460724875197879,0.00209575029189831,0.0022609607216769,0.00263499957509339,0.00274809198786638,0.00517348429587271,0.00483305838757328,0.00337007803110672,0.00337139600222664,0.00435220619796642,0.00290943168303264,0.00408873520791531,0.00360329342739923,0.00369362047474299,0.00301805564335414,0.00386839503023241,0.00185881538449654,0.00450014223211578,0.00260532564217491,0.00485676018122051,0.00203100773173251,0.00269084417128137,0.00533132394775748,0.00434233214972275
9,6.06784860293071,6.3018061319987,-2.21979242563248,0.404079273343086,0.584619879722595,0.724668224652608,0.479698240756989,0.446948560575644,-1.78829584519068,0.592095643281937,0.291288644075394,0.558693990111351,0.522242014606794,0.606816833217939,0.510134731729825,0.505686854322751,0.157236933708191,0.379276186227798,0.518216935296853,0.679072131713231,-0.37803070868055,0.334879698852698,-2.54727824529012,-2.34588201840719,-1.19443106651306,0.00223494916766261,0.00414060331725826,0.00184768814748774,0.00236733628359313,0.00266271728711824,0.002435155872566,0.00471141864545643,0.00432125991210341,0.00284292354869346,0.0034636616668043,0.0037517068364347,0.00247529180099567,0.00350749956366296,0.00282536452868953,0.00344224002522727,0.00242819615717356,0.00362110322263713,0.00144839413890926,0.00335063694122558,0.00203474366571754,0.00382943265140057,0.00138978921071005,0.00197799135154734,0.00458316310929755,0.00339035453119626
10,6.06439828872681,5.80129067103068,-2.33937589327494,0.425083672006925,0.487196512520313,0.37249223018686,0.179320394992828,0.446067524453004,-1.85363988081614,0.582701434691747,0.491398433844248,0.517024591565132,0.694964086016019,0.723578214645386,0.552645326902469,0.545617530743281,0.199066480000814,0.368465465803941,0.549514765540759,0.60612249126037,-0.326972806205352,0.405896201729774,-2.47756493091583,-2.26221489906311,-1.03944085041682,0.00223260178851585,0.00421395882343252,0.00192561751464382,0.00230686490734418,0.0025349700008519,0.00215675759439667,0.00426266121212393,0.00414541619829834,0.00293382881985356,0.0035223145581161,0.00424812039515624,0.00290112488437444,0.00442752051943292,0.00354498946884026,0.00400169605078797,0.00311980229647209,0.00397534544269244,0.00157941970974207,0.00362556928303093,0.00236127806905036,0.0043039508163929,0.00174719240749255,0.00239526402826111,0.00521877668021868,0.00398532429244369
11,6.14039556185404,7.0732045173645,-2.07405374447505,0.608134989937147,0.615435173114141,0.622499058643977,0.446771716078122,0.307928346097469,-1.7943881948789,0.450475816925367,0.429824084043503,0.577136367559433,0.313725841542085,0.335527782638868,0.14268438021342,0.381181408961614,0.173231025536855,0.275916490703821,0.568719993034999,0.883828739325205,-0.172142947713534,0.446614811817805,-2.64733211199443,-2.55587216218313,-1.90657679239909,0.0027243522539114,0.00548067906250556,0.00201099259235586,0.00299116268676395,0.00313771073706448,0.00244276960923647,0.00473988432592402,0.00380325577377031,0.00265722479283189,0.0025378797048082,0.00364196622588982,0.00195855019652906,0.00294707924088774,0.00225501971726771,0.00232807892219474,0.00221359917001488,0.00296477480636289,0.00154914230612728,0.00371579309770217,0.00247598583033929,0.00339295280476411,0.00176006736001,0.00181185327043446,0.00374514374804373,0.00299180960670734
12,5.93658418655396,6.4494197845459,-2.24725461006165,0.42660385966301,0.54311238527298,0.666602611541748,0.511829787492752,0.386961621046066,-1.71821479797363,0.482734993100166,0.390415179729462,0.325146433711052,0.155951091647148,0.416959500312805,0.322669905424118,0.274073028564453,0.180290354043245,0.200632236897945,0.260203778743744,0.78488757610321,-0.0779554784297943,0.354651457071304,-2.57118806838989,-2.35015778541565,-0.952676892280579,0.00363734918646514,0.0067954326979816,0.00314890961162746,0.0037090786267072,0.00399435558356345,0.00379640394821763,0.00661777406930923,0.00584896765649319,0.00433253161609173,0.00446150954812765,0.00518084694631398,0.00307325758039951,0.00417387981433421,0.00399613529443741,0.00387048893608153,0.00328805269673467,0.00399760534055531,0.00191530573647469,0.00468697659671307,0.00291629428975284,0.00513854855671525,0.00216367181856185,0.00307199235539883,0.00645122653804719,0.00478698979131877
13,6.49807167053223,6.27961368560791,-2.23112745285034,0.381693834066391,0.407526683807373,0.581369519233704,0.413306725025177,0.350231269001961,-1.92237114906311,0.469046062231064,0.495606756210327,0.291932326555252,-0.0429518833756447,0.248799645900726,0.411050356924534,0.476084327697754,0.240447008609772,0.413580459356308,0.593901681900024,0.854830932617187,-0.166060669720173,0.510397374629974,-2.51660676002502,-2.24743814468384,-1.12842667102814,0.00288023946341127,0.00581857254728675,0.00208793636411428,0.00275777198839933,0.00301172169856727,0.00300061129964888,0.00490447380580008,0.00492459083907306,0.00349970241077244,0.00394299104809761,0.00429929313249886,0.00250463816337287,0.00358357494696975,0.00278281853534281,0.0033278328133747,0.00303814942017198,0.00428262229543179,0.00176073382608593,0.00424248701892793,0.00282333849463612,0.00407500537112355,0.00186933325603604,0.00226995884440839,0.00557658546604216,0.00366581091657281
14,6.78209813435872,6.77481476465861,-2.22159173091253,0.639967173337936,0.596291373173396,0.569794674714406,0.40733994046847,0.451705994705359,-1.66454565525055,0.624360571304957,0.56017792224884,0.652705939486623,0.532563615590334,0.572501137852669,0.297758950541417,0.589689001441002,0.223727008327842,0.211298203716675,0.260187717775504,0.472496579090754,-0.525255889942249,0.184181270500024,-2.83134206136068,-2.5289587577184,-0.823970605929693,0.00250102284674843,0.0047483245919769,0.0022870433749631,0.00312392842412616,0.00324942441269134,0.00228243210585788,0.00456049498946716,0.00445446251736333,0.00274360540788621,0.00369812878003965,0.0037427933809037,0.00210305041400716,0.00327402023443331,0.00262300381048893,0.0033614457740138,0.00260112997299681,0.00309540973588203,0.00104533072832661,0.00248522943972299,0.00153281987877563,0.00304557367538412,0.00115768339795371,0.00175938526323686,0.00480096515578528,0.00363821544063588
15,6.24425435066223,6.41821718215942,-2.14429461956024,0.399059365193049,0.544347256422043,0.673278212547302,0.373883237441381,0.322809594372908,-1.81981794039408,0.432556202014287,0.633157581090927,0.762159064412117,0.435918399443229,0.507170374194781,0.288002848625183,0.332980180780093,0.308840652927756,0.325655543555816,0.174994044005871,0.591551475226879,-0.159752916544676,0.480750208099683,-2.52504853407542,-2.3402194182078,-1.11250847578049,0.00281641719629988,0.00517243534947435,0.00225032239298647,0.00296183514486377,0.00293711080060651,0.00264750816859305,0.00491777741505454,0.00442193339889248,0.00329795732007672,0.00366427877452224,0.00433411759634813,0.00276957456177721,0.00400978419929743,0.00339937751414254,0.0031552204163745,0.00266502070007846,0.00330675282748416,0.00153463036986068,0.00345937612776955,0.00231749684705089,0.00413445010781288,0.00183356574658925,0.00273175081626202,0.00488986959680915,0.00407740465986232
