"","R^2"
"Dim_0",0.00297290507841822
"Dim_1",0.000601406327921334
"Dim_2",0.000141969615739194
"Dim_3",7.95503319105558e-05
"Dim_4",0.00102456941344387
"Dim_5",0.000133257199387095
"Dim_6",0.00064453691108627
"Dim_7",2.83789237796172e-05
"Dim_8",0.000218050480485327
"Dim_9",3.58170961855242e-05
"Dim_10",2.95774419856191e-05
"Dim_11",2.27219691854e-05
"Dim_12",0.000345886057060004
"Dim_13",3.3133520114768e-05
"Dim_14",0.000225112618455917
"Dim_15",0.000951169875133605
"Dim_16",0.000483940861367445
"Dim_17",0.000816404435446664
"Dim_18",0.000780940694974725
"Dim_19",1.27543628107109e-05
"Dim_20",4.06253447242438e-05
"Dim_21",0.00026371772613864
"Dim_22",0.000575219303422458
"Dim_23",0.00155036202148388
"Dim_24",0.000272914142987997
"Dim_25",0.00134595708596159
"Dim_26",0.00140608580741174
"Dim_27",0.00430163247212592
"Dim_28",0.00409658524133759
"Dim_29",0.00378907284516734
"Dim_30",0.00371513104304969
"Dim_31",0.00285622977331178
"Dim_32",0.00182476699895641
"Dim_33",0.00215211365578615
"Dim_34",0.00145226060300889
"Dim_35",0.00264111938174709
"Dim_36",0.00289112300039097
"Dim_37",0.00203260575627077
"Dim_38",0.00201587858222556
"Dim_39",0.00077464291285988
"Dim_40",0.0028809785560213
"Dim_41",0.00224397826361369
"Dim_42",0.00210692759804784
"Dim_43",0.00271532460081096
"Dim_44",0.0017324440965249
"Dim_45",0.00208642646735532
"Dim_46",0.00303458853305448
"Dim_47",0.00274275011210887
"Dim_48",0.00105773310396727
"Dim_49",0.00255443047844412
