"Genotype","Dim_0","Dim_1","Dim_2","Dim_3","Dim_4","Dim_5","Dim_6","Dim_7","Dim_8","Dim_9","Dim_10","Dim_11","Dim_12","Dim_13","Dim_14","Dim_15","Dim_16","Dim_17","Dim_18","Dim_19","Dim_20","Dim_21","Dim_22","Dim_23","Dim_24","Dim_25","Dim_26","Dim_27","Dim_28","Dim_29","Dim_30","Dim_31","Dim_32","Dim_33","Dim_34","Dim_35","Dim_36","Dim_37","Dim_38","Dim_39","Dim_40","Dim_41","Dim_42","Dim_43","Dim_44","Dim_45","Dim_46","Dim_47","Dim_48","Dim_49"
1,6.2980463628317,5.66906388600683,-2.13713443279271,0.443179722391634,0.570700921359421,0.732763806978855,0.43574882050355,0.386924979587471,-1.82052222887671,0.390016689896568,0.264028862565949,0.271404135693058,0.34453998009365,0.40082540327085,0.185149307643597,0.515916922149942,0.174140830211523,0.322970533961121,0.597163942952993,0.750744269784608,-0.122093188706357,0.431544193462851,-2.5640179796937,-2.35239931295551,-1.11063059171031,0.00351225269839766,0.0050132976853367,0.00271432189475347,0.00325549841285074,0.00323221442751335,0.00357041058147411,0.00540798476761182,0.00588631280697887,0.00371498420318799,0.00355029337030527,0.00490808820800163,0.00283321278402579,0.00391212035087205,0.00325882859237002,0.00335940530309104,0.00352457321132874,0.00490186018528084,0.00193568175951559,0.00529354954293605,0.0031447960381209,0.00475001796146983,0.00232227118940215,0.00236864506783316,0.00585346886144198,0.00444181674863195
2,6.41218471027856,6.78205267588298,-1.97091446320216,0.627052107017568,0.458151478101406,0.373475909233089,0.225423117478687,0.409395600358645,-1.96043006579082,0.476807147264481,0.666675216275226,0.826123804463828,0.638233969608944,0.6734949798164,0.521379765933011,0.422880566790195,0.248669414928579,0.363755786633051,0.410965291162334,0.750085388311383,-0.317597068705972,0.318752278338433,-2.70821886930254,-2.58731294754802,-1.37830460071564,0.00204041646045572,0.00426533401259701,0.00170550988684496,0.00246119459177658,0.00240325088821665,0.00179367816850274,0.00371019624695129,0.00314283349628871,0.00231604121354824,0.00283345069813846,0.0033751270696169,0.00211992050753905,0.00330207343466029,0.00253419481470167,0.00271950749155426,0.00207983458277736,0.00267528191388958,0.0011944794547132,0.00286358969363695,0.00184816056120092,0.00329705913169164,0.00140198527588458,0.00196885472998854,0.00401599284731232,0.00318235707017209
4,6.24231733878681,6.52386522293091,-2.21814767519633,0.547654794898107,0.588917417380572,0.668989698092138,0.464053918917972,0.485577717423439,-1.93865060806275,0.508035535613696,0.529787271849131,0.690957200200389,0.600778316458068,0.384756116311554,0.386928228461341,0.313191216339327,0.0746301344840429,0.276468581890418,0.380559379855793,0.494655246062194,-0.447399359588568,0.372096032024897,-2.68337157048534,-2.34465822630414,-0.87689792116483,0.00283161458323732,0.00533197713271846,0.00252808695384259,0.00324128320140144,0.00319598403856849,0.00269438535972949,0.00579687848284012,0.00506724370643497,0.00328854065335414,0.00398039577218387,0.00413228597701999,0.00264209885305413,0.00379220018083097,0.00314567697287563,0.00324211114570583,0.00255138166382966,0.0030518886922564,0.00134523364461425,0.00323258559607591,0.00186321000338754,0.00423537570604952,0.00159286398013323,0.00225206537525556,0.00490229023176294,0.00437999838147804
5,6.73821717425912,6.47085396448771,-2.27489256858826,0.468589323514784,0.415015266007095,0.410062310596302,0.283241604765255,0.285055331885815,-1.90542360146841,0.641381998856862,0.496692919763845,0.513192467885313,0.668130104740462,0.684050079749384,0.55587931289607,0.480380886061926,0.169018253869524,0.415103028141561,0.652962813774746,0.683631972553541,-0.512754192745489,0.267916757091513,-2.6557188980519,-2.50272733715153,-1.11269853512446,0.00224488649729693,0.00445049777107206,0.00199015173328941,0.00240012326975722,0.00256673721441731,0.0021879526412786,0.00432292330221395,0.00385988476530959,0.00267916832148436,0.00305407925043249,0.00382278852636589,0.00257237901678307,0.00379799700234832,0.0030541987769068,0.00371508521712361,0.00277341173774528,0.00336804325762301,0.00130123783429995,0.00304179751159003,0.00193386776486937,0.00373362217292151,0.00144753534193515,0.00199383612731132,0.00470874676268659,0.00327211527359976
7,6.05543850201406,5.88838148117066,-2.02804803848267,0.678698585097291,0.537840395609635,0.566536802798505,0.472641776005425,0.668189525604248,-1.8927371899287,0.47599104543527,0.51089060981214,0.475334477587584,0.530804852644604,0.530904436244692,0.427750331684531,0.380480724838537,0.288053096163637,0.533098576567239,0.694030163188777,0.861639760111432,-0.146098758499246,0.388521559635092,-2.75537605854043,-2.53116323244416,-1.19689037899176,0.00234117594381377,0.00380547188660294,0.00174783302907607,0.0023026201309047,0.00218655893048713,0.00244641619855684,0.00432434562724149,0.00436465430539101,0.00252339394696709,0.00272090603054185,0.00333623865534498,0.00215052810381165,0.00284974827196819,0.00227907766944099,0.00282399166659945,0.00219363774580953,0.00336040335097695,0.00140140130626279,0.00359349814243615,0.00203885894799095,0.00396119239323463,0.00160745896979935,0.00183145375687182,0.00449766521318028,0.00354038419051382
8,6.01767787966522,5.94058854239328,-2.39978809016091,0.310613708526004,0.443936328616529,0.548881108734107,0.366841003325266,0.370049403748176,-1.89351245231685,0.39062497022475,0.430431809054985,0.579971131148121,0.603762297844983,0.506139088168742,0.315529232749173,0.373906349453868,0.271550715883991,0.513653429370914,0.634776834384005,0.767033174386729,-0.21720534252137,0.527838135236458,-2.39133921648931,-2.27109744861757,-1.08120513312314,0.00271011527767757,0.00461835345434372,0.00209121163530419,0.00226725060336175,0.00264315069788436,0.00274813641865837,0.0051704152720464,0.00483305838757328,0.00337643071992253,0.00339059674142567,0.0043634031611173,0.00291406557034972,0.00409371902555745,0.0036016471161605,0.0036797131942446,0.00301886832956994,0.00386644453554693,0.00186345529942896,0.004499492136371,0.00262214834639861,0.0048582424450787,0.00203700407979116,0.00269817749543123,0.00530690782306084,0.00433835432628359
9,6.04850338103445,6.3018061319987,-2.21979242563248,0.39847480364646,0.576038573707107,0.719860739296596,0.476465338175489,0.442030971992684,-1.78914760449309,0.593778333510222,0.293396261829147,0.558313479547108,0.521349635087626,0.607408392805396,0.51640133797496,0.523459061218014,0.163337107239675,0.378503579715548,0.518288481350979,0.684011812319586,-0.36963106125315,0.329775125030662,-2.56051398132003,-2.3547087146866,-1.19566323204314,0.00223445289366977,0.00415272841129891,0.00185420839534612,0.00238184865169339,0.00270278443161185,0.0024357963407999,0.00472756047489447,0.00432125991210341,0.00285309769416951,0.00347276787803918,0.003762652807024,0.00248125783468753,0.00353403055060277,0.00287501938262219,0.00351176499617505,0.00248228554892046,0.00365474192343516,0.00145717781061216,0.00335409839870338,0.00206337809516867,0.00384298770466388,0.0013965755853313,0.00199252345349365,0.0046263133690541,0.00338947684967845
10,6.04126222568111,5.80129067103068,-2.33937589327494,0.430140080950568,0.486343899590439,0.372492230186855,0.179320394992827,0.446067524453004,-1.85363988081615,0.582701434691747,0.489785077143001,0.50733948517243,0.69496408601602,0.72342299185471,0.554117096407432,0.550711283909247,0.201530358291167,0.36911892304445,0.549514765540761,0.605272123507323,-0.331455847835467,0.408074787328603,-2.4761061109412,-2.26142354838631,-1.03944085041682,0.00222910775585937,0.00421768560896552,0.00193082068080317,0.00232075344017421,0.00255604234240126,0.00215692881738251,0.00427002786971213,0.00414541619829834,0.00293375215810176,0.00352231455811604,0.00424762929975841,0.00290112488437442,0.00442714131102547,0.00353666272311598,0.00402132263825153,0.0031343349052897,0.00400078993543921,0.00158333112428376,0.00362556928303093,0.00237016132932836,0.00430819120726269,0.0017519600018153,0.00238674331389841,0.00522695472928075,0.00398620715625159
11,6.14637904681213,7.0732045173645,-2.07405374447505,0.601274828077076,0.61554441080686,0.622499058643972,0.446771716078121,0.307928346097469,-1.7943881948789,0.450475816925367,0.42997200129784,0.587290498363621,0.313725841542086,0.335362028465254,0.142170667520568,0.379962220438395,0.168810042059136,0.272726352070157,0.568719993035,0.871545904807205,-0.174929127705748,0.457165974520688,-2.63914094233899,-2.55120609374347,-1.90657679239909,0.00272696560989048,0.00548432627490329,0.00201675089343823,0.00298813200663284,0.00314174563957477,0.00244295263812748,0.00474665220593678,0.00380325577377031,0.00266203611031963,0.00253787970480813,0.0036470287309085,0.00195855019652904,0.00297209740495135,0.0023040783427168,0.00235764743277252,0.00224566195216902,0.00297234626594397,0.00155100948940193,0.00371579309770217,0.00248084721714542,0.00340957134925267,0.00177300158466847,0.00185911392411809,0.0037885809031783,0.00300491583955323
12,5.90671665934442,6.4494197845459,-2.24725461006165,0.438184209168804,0.550125594396104,0.671052223050464,0.514725917240801,0.389958817659113,-1.71591182663046,0.482798904213396,0.394475223971387,0.33342287408121,0.157913090083286,0.417075735149443,0.325403824927785,0.268706839142904,0.170038561992022,0.190861439494002,0.256940806279175,0.774350724900165,-0.0910451909823762,0.341123927274285,-2.58340879339596,-2.35024861222771,-0.952690252415502,0.00364456456696275,0.00680467832834836,0.00318060772922788,0.00374457289031732,0.00405378823425763,0.00379701176596108,0.00664489543756644,0.00584896765649319,0.0043326875084041,0.00446298828262845,0.00518148714842246,0.00306882334097289,0.00417923345816511,0.00401398192900008,0.00388681697106136,0.00330811267642186,0.00400087764422672,0.00191062782465083,0.00467770246071414,0.00289878036828959,0.00514303881289911,0.00216920087869797,0.00308202650527605,0.00644571092060304,0.0048050052874153
