Genotype,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63,Dim_64,Dim_65,Dim_66,Dim_67,Dim_68,Dim_69,Dim_70,Dim_71,Dim_72,Dim_73,Dim_74,Dim_75,Dim_76,Dim_77,Dim_78,Dim_79
1,0.294953013,0.349825695,0.430065781,0.348481144,0.290032734,0.380304128,0.284003553,0.346735214,0.347732956,0.351985894,0.355636872,0.36638964,0.206738556,0.311273158,0.2905158,0.385736893,0.35298568,0.325531753,0.251802879,0.329733625,0.356309464,0.28138075,0.312733606,0.344271352,0.292246369,0.347727016,0.305939034,0.285300424,0.338177043,0.367787314,0.331496604,0.287464708,0.313430997,0.291759153,0.359519899,0.322360906,0.379535342,0.279545523,0.287846329,0.345975243,0.364403451,0.182048507,0.335015699,0.320212516,0.34817715,0.340871704,0.311172885,0.34602425,0.353980387,0.315097786,0.308037336,0.287999819,0.291607574,0.372626339,0.277023152,0.198747153,0.341885023,0.289794922,0.258014279,0.289743324,0.373301297,0.281520856,0.139771742,0.247993382,0.26099474,0.221401036,0.29944279,0.258892179,0.280209593,0.316299756,0.219323471,0.260076729,0.287572975,0.363343105,0.273522558,0.292100849,0.320704867,0.326260154,0.295732309,0.287313138
2,0.349408224,0.342003514,0.314170886,0.35677704,0.335561539,0.411246389,0.322064457,0.286547966,0.367893135,0.369012281,0.361799121,0.391732583,0.176621618,0.309727219,0.312096809,0.383808737,0.377303342,0.336310729,0.244244888,0.358632083,0.340571056,0.278158456,0.351040438,0.393936584,0.348860428,0.362235035,0.369904349,0.367720445,0.360951036,0.384391253,0.347402265,0.331520349,0.352961754,0.366844748,0.378845056,0.317988135,0.404567068,0.301704211,0.306052091,0.353942119,0.360956858,0.203531558,0.38898768,0.350131,0.336215958,0.333837447,0.32670101,0.388207128,0.351545716,0.397444303,0.37506487,0.371951366,0.310759256,0.378831262,0.314299583,0.203251757,0.400710473,0.33948639,0.298170035,0.341732929,0.309853805,0.301849728,0.1471027,0.27222915,0.297797206,0.230248059,0.314685787,0.252840362,0.34546259,0.278411202,0.277068963,0.310695052,0.278254184,0.308992947,0.325880664,0.272069015,0.359739718,0.342226336,0.254810851,0.250354802
4,0.325403623,0.352088278,0.387793526,0.359263644,0.325164954,0.367453421,0.322489796,0.326075996,0.364973883,0.332632507,0.366033792,0.356710623,0.192722768,0.331571043,0.308845863,0.38969925,0.32861229,0.34337986,0.270213706,0.338421531,0.347185607,0.298471446,0.329187659,0.338616649,0.318638225,0.332145974,0.325796475,0.303433177,0.335559209,0.364077648,0.322872989,0.296868103,0.31767264,0.2964356,0.354586358,0.328511228,0.369971459,0.288389112,0.298550114,0.351705169,0.341716141,0.209766659,0.309218576,0.349364663,0.348097876,0.321830263,0.295957439,0.342112807,0.351150592,0.32006677,0.307343438,0.292484142,0.306743614,0.358902325,0.30581448,0.197642711,0.336813179,0.293676277,0.27915321,0.293741566,0.396335845,0.357681195,0.163689509,0.264488719,0.27795541,0.257636435,0.335929784,0.335717311,0.286259835,0.300474224,0.254650734,0.320221446,0.315611221,0.376061191,0.317738965,0.284663009,0.3405117,0.336978344,0.319590474,0.304569297
5,0.339707404,0.357191329,0.384420355,0.332919116,0.333830943,0.388736357,0.328280096,0.314948842,0.357503568,0.360096566,0.341000711,0.374437014,0.194300242,0.32757923,0.31072395,0.379431645,0.366789972,0.326757737,0.260290357,0.345867018,0.34406662,0.279737907,0.304289651,0.360516484,0.323878303,0.356486666,0.336429333,0.304093699,0.343403061,0.333214988,0.337816052,0.270089264,0.32528622,0.318275747,0.357636082,0.314254391,0.386600549,0.282930945,0.285687514,0.322304137,0.362732351,0.221112502,0.334079176,0.326889165,0.328100507,0.303982168,0.319385029,0.358343403,0.349641601,0.330609818,0.317354356,0.314270581,0.313628341,0.373609806,0.309350093,0.195886999,0.364833673,0.263747121,0.262087325,0.286288907,0.349342808,0.324950169,0.167004449,0.289005801,0.279821331,0.274015216,0.352977181,0.287836375,0.277241719,0.339084029,0.246753797,0.304439902,0.311943556,0.356539468,0.319807197,0.338213364,0.320601881,0.338690773,0.300570622,0.275631649
7,0.344713432,0.375368913,0.326482713,0.284914811,0.338253108,0.420070082,0.328809872,0.278344492,0.34409521,0.392548258,0.291442389,0.402439709,0.167011184,0.318042949,0.307277312,0.385016541,0.415282473,0.297114549,0.246702706,0.34013364,0.339497114,0.267535674,0.297307918,0.38478894,0.340111685,0.388156076,0.322199665,0.327700416,0.373949061,0.294504186,0.35543941,0.274153722,0.336530668,0.345079792,0.364364927,0.264808518,0.414836297,0.303981816,0.282615279,0.278898187,0.383597727,0.22167549,0.396974231,0.28636192,0.284982122,0.257832075,0.368620783,0.394932906,0.352979849,0.351055036,0.328417425,0.304318883,0.304802363,0.394065137,0.307520015,0.158103799,0.403434952,0.267408289,0.265054308,0.333757276,0.331644376,0.334345798,0.160093476,0.301802712,0.311972645,0.300219643,0.341708705,0.27570833,0.28842398,0.31193845,0.237398828,0.302996958,0.23670232,0.355199183,0.331817562,0.339960034,0.288745669,0.290821205,0.240958335,0.257339557
8,0.302403852,0.359965188,0.367325766,0.317587012,0.298433302,0.352302583,0.292233182,0.30191125,0.321319887,0.330094646,0.323312985,0.34619739,0.182781975,0.317174775,0.291794837,0.358204969,0.338088293,0.301636317,0.257215338,0.300575293,0.332185224,0.262347739,0.301232915,0.31912575,0.291912221,0.333057846,0.314913758,0.288104779,0.328601743,0.315763727,0.314893608,0.261954031,0.297253615,0.29382631,0.313010812,0.296569656,0.360304119,0.291411,0.255298378,0.315297802,0.344398641,0.195074216,0.349736678,0.31700484,0.308905289,0.290688017,0.333604787,0.338642191,0.328687248,0.310818166,0.305946908,0.291462713,0.280374925,0.344987905,0.275526492,0.1790147,0.327800144,0.256979061,0.237392059,0.30233758,0.342231955,0.286885574,0.157892111,0.266875529,0.27883063,0.284202633,0.320790453,0.259990013,0.287700915,0.322108897,0.239875581,0.29893139,0.256847748,0.339221969,0.310173113,0.332279848,0.289375493,0.315380056,0.256498035,0.274818048
9,0.287870914,0.346061821,0.385260001,0.34745727,0.29159048,0.298197649,0.295791306,0.307675158,0.334669759,0.267297136,0.354891911,0.291716414,0.169031822,0.302374636,0.274305408,0.364902953,0.268720393,0.316606035,0.258752023,0.285761314,0.3076537,0.26284385,0.287242606,0.264579001,0.283998072,0.280081103,0.305664477,0.262272574,0.297238899,0.325419044,0.26492429,0.246311262,0.26274767,0.258324198,0.282314964,0.319717179,0.306417147,0.260584071,0.237822277,0.358289212,0.29171219,0.197566857,0.267811929,0.311212728,0.343116229,0.299585864,0.269187314,0.278299272,0.311793695,0.280288753,0.262088736,0.263699268,0.270248801,0.299984073,0.269878052,0.176837365,0.277864665,0.23898788,0.240041003,0.25312524,0.410543109,0.305970483,0.150536059,0.237970745,0.305944773,0.260303691,0.307355146,0.278045118,0.290506961,0.264492273,0.227210117,0.303119262,0.311423612,0.356928175,0.290409267,0.283375929,0.287469772,0.301266226,0.247921164,0.275667295
10,0.309172623,0.353736718,0.376045749,0.369521663,0.309848142,0.346459016,0.309153497,0.304268817,0.342010995,0.328429138,0.376221359,0.335132803,0.185817244,0.324954788,0.298313012,0.362989893,0.329361007,0.334626163,0.266711108,0.316934794,0.325023969,0.275574841,0.320224956,0.317016209,0.306226537,0.32526048,0.336548438,0.309160431,0.318058933,0.359410266,0.311681752,0.280826159,0.30030189,0.307239975,0.327872078,0.337160652,0.348280763,0.290353663,0.277991506,0.367343277,0.334446773,0.203786088,0.346694375,0.341710381,0.347956474,0.321909559,0.318342263,0.32098226,0.326295535,0.330420112,0.315835719,0.309519547,0.29075213,0.337698052,0.295254846,0.203612514,0.325910546,0.281522135,0.265818037,0.296710983,0.35987636,0.31182086,0.163541276,0.287330372,0.283815714,0.270452375,0.353365396,0.271508763,0.289087425,0.332859764,0.248669848,0.293296278,0.297156567,0.346031889,0.326359828,0.343105336,0.31811813,0.344188251,0.2865893,0.307405824
11,0.339972968,0.350577295,0.431265535,0.352103256,0.323447565,0.397047654,0.305249602,0.356971855,0.366361693,0.340779051,0.359119775,0.379546955,0.184017571,0.325487708,0.320254773,0.400436824,0.35463691,0.33425271,0.250590938,0.354321028,0.363869707,0.277710979,0.28731098,0.37186193,0.320510186,0.343498359,0.315480165,0.291656596,0.35045741,0.349230565,0.319712698,0.260902589,0.338511745,0.318189251,0.367169246,0.319963271,0.392949447,0.276308065,0.282249021,0.355153225,0.349361911,0.206741497,0.332795426,0.302740782,0.347578806,0.318241075,0.300958445,0.369319191,0.365518103,0.330099188,0.328274588,0.313163,0.315075393,0.375927349,0.288604781,0.192789373,0.37383241,0.261324537,0.291707585,0.294369755,0.371138185,0.26103501,0.131652221,0.221107624,0.309881645,0.229530911,0.267331789,0.260116545,0.284096099,0.283982982,0.217971511,0.267862014,0.255762738,0.362331197,0.279462966,0.261126054,0.281524822,0.29954951,0.261432283,0.265254907
12,0.368455932,0.351707655,0.483869261,0.403906959,0.359504244,0.38802141,0.355932176,0.39737435,0.407668787,0.355378538,0.412689978,0.385757071,0.242241165,0.385755134,0.362603313,0.416306037,0.349726498,0.376553452,0.279470682,0.391024101,0.397614604,0.318208486,0.345473915,0.361529899,0.345843011,0.368282652,0.378981817,0.332539445,0.370536661,0.39965387,0.34528212,0.316176486,0.358944851,0.351942575,0.392043334,0.378576016,0.388675076,0.298873156,0.337187368,0.406537867,0.370944923,0.239402992,0.36613242,0.364009321,0.407162726,0.382565397,0.315174565,0.3511195,0.398870629,0.363644987,0.361752802,0.354816109,0.359612012,0.374398023,0.340150595,0.241679892,0.366714367,0.316332984,0.329534715,0.304858506,0.346935475,0.33457326,0.172809105,0.294456917,0.26097348,0.235917291,0.334134442,0.265143424,0.322172761,0.36015467,0.248046255,0.283351982,0.316287521,0.368847197,0.344060671,0.316874748,0.372124124,0.396214604,0.344152603,0.260937652
