"","R^2"
"Dim_0",0.000746718902569685
"Dim_1",1.09770617217836e-05
"Dim_2",0.00524993353939048
"Dim_3",0.00837286087524145
"Dim_4",0.00191253010696566
"Dim_5",0.00282088655721396
"Dim_6",0.00275123922397645
"Dim_7",0.00517571901447958
"Dim_8",0.00512171373584333
"Dim_9",0.00101339154518898
"Dim_10",0.0085025856270322
"Dim_11",0.0046653481147669
"Dim_12",0.00107724432753393
"Dim_13",0.000239284440671425
"Dim_14",6.95761332670271e-05
"Dim_15",0.000619695908617545
"Dim_16",0.0027702917350325
"Dim_17",0.00797652414183237
"Dim_18",0.00131513542432899
"Dim_19",0.00255229912610573
"Dim_20",0.00660480508994402
"Dim_21",1.18301050359057e-05
"Dim_22",0.00513232035904878
"Dim_23",0.000963743760920834
"Dim_24",0.000653641314481123
"Dim_25",0.00363332613047483
"Dim_26",0.000980817547320541
"Dim_27",0.00104929458458642
"Dim_28",0.0044868468756927
"Dim_29",0.00843038878533436
"Dim_30",0.00087994906839205
"Dim_31",0.00587120128945316
"Dim_32",0.000527061097544337
"Dim_33",0.000408415973118313
"Dim_34",7.31243344894292e-07
"Dim_35",0.00683564042954918
"Dim_36",0.00372808796110332
"Dim_37",0.000914117566338963
"Dim_38",0.00384968284349394
"Dim_39",0.00860146284257459
"Dim_40",0.00400887128642112
"Dim_41",0.00247501244326625
"Dim_42",1.79333804626843e-05
"Dim_43",0.00537151424032297
"Dim_44",0.00847119389549157
"Dim_45",0.00514068972233391
"Dim_46",0.000145153520493824
"Dim_47",0.00282668820015159
"Dim_48",0.00435204762030208
"Dim_49",2.88990552328375e-06
"Dim_50",0.000230363989830871
"Dim_51",3.96141579995584e-06
"Dim_52",0.000200794254432113
"Dim_53",0.00250594898838033
"Dim_54",0.00127255308107401
"Dim_55",0.00370701956387353
"Dim_56",0.00177774407112923
"Dim_57",0.00648092727505243
"Dim_58",2.67604027752145e-05
"Dim_59",0.000226138037455653
"Dim_60",0.000907161626297634
"Dim_61",0.00307108913266109
"Dim_62",0.0045064122085334
"Dim_63",1.36839817838349e-10
"Dim_64",0.000260423458706738
"Dim_65",0.00210430752172648
"Dim_66",0.00263858151206407
"Dim_67",8.70979410872449e-05
"Dim_68",0.000831886140946711
"Dim_69",0.000202656983695954
"Dim_70",0.0125748934287229
"Dim_71",0.00550979995663483
"Dim_72",0.000696189322702495
"Dim_73",0.000449635232428284
"Dim_74",0.00119775440357556
"Dim_75",0.000795789265926308
"Dim_76",0.00608511967424743
"Dim_77",0.00439149590806555
"Dim_78",7.84522102420655e-07
"Dim_79",0.00190899438850403
