"","repeatability","gen.variance","res.variance","line.repeatability","average.number.of.replicates","lower","upper"
"Dim_0",0,0,0.0056367591769766,FALSE,5.92142526577238,0,0.0270021035833079
"Dim_1",0.00404442845582828,1.01402958871144e-05,0.0024970856317966,FALSE,5.92142526577238,0,0.0359173813234035
"Dim_2",0.0202996767659279,0.000283578371789613,0.0136860219848814,FALSE,5.92142526577238,0,0.0540269992579387
"Dim_3",0.0135203102871742,8.42871916464044e-05,0.00614982947107264,FALSE,5.92142526577238,0,0.0464852905723512
"Dim_4",0,0,0.00497896078802844,FALSE,5.92142526577238,0,0.0298878438693798
"Dim_5",0,0,0.00517218345561048,FALSE,5.92142526577238,0,0.0179031541743144
"Dim_6",0.000641416834187006,3.11681635793274e-06,0.00485615127859828,FALSE,5.92142526577238,0,0.0321146451672963
"Dim_7",0.0139069503250622,8.21446624520541e-05,0.00582458977838493,FALSE,5.92142526577238,0,0.0469158323835368
"Dim_8",0.0191485389368568,9.39484229937745e-05,0.00481234877824826,FALSE,5.92142526577238,0,0.0527475259703555
"Dim_9",0,0,0.00602763325995781,FALSE,5.92142526577238,0,0.00911137564646591
"Dim_10",0.0145690135289105,9.13701130134742e-05,0.00618016727228452,FALSE,5.92142526577238,0,0.0476529516061824
"Dim_11",0,0,0.00437243044778937,FALSE,5.92142526577238,0,0.0249490570395029
"Dim_12",0,0,0.00233461123164489,FALSE,5.92142526577238,0,0.0229127309702562
"Dim_13",0.0139938910048279,4.09911061922725e-05,0.00288822323298834,FALSE,5.92142526577238,0,0.047012637837742
"Dim_14",0.00483389359339224,1.47782660311921e-05,0.00304243963619849,FALSE,5.92142526577238,0,0.0367990075307376
"Dim_15",0,0,0.0018088952987171,FALSE,5.92142526577238,0,0.0310052482571591
"Dim_16",0,0,0.0066634437998217,FALSE,5.92142526577238,0,0.0183891795402232
"Dim_17",0.022541690501133,0.00011810518605043,0.00512130603044612,FALSE,5.92142526577238,0,0.0565176635364051
"Dim_18",0,0,0.00280409371515256,FALSE,5.92142526577238,0,0.0290578757137046
"Dim_19",0.0123682537702691,7.2663254880837e-05,0.00580231766243392,FALSE,5.92142526577238,0,0.0452021171898834
"Dim_20",0.0204375943906295,7.42311651117264e-05,0.00355785799826657,FALSE,5.92142526577238,0,0.0541802622941399
"Dim_21",0.0101384886731676,2.81409303551082e-05,0.00274751244977695,FALSE,5.92142526577238,0,0.0427172842189068
"Dim_22",0.0376597435372514,0.000159414872985299,0.00407361642282298,FALSE,5.92142526577238,0.00729853692276347,0.0732675934546172
"Dim_23",0,0,0.00580739513606408,FALSE,5.92142526577238,0,0.0101858831110963
"Dim_24",0,0,0.00474066626846898,FALSE,5.92142526577238,0,0.0280684867368621
