Genotype,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63,Dim_64,Dim_65,Dim_66,Dim_67,Dim_68,Dim_69,Dim_70,Dim_71,Dim_72,Dim_73,Dim_74,Dim_75,Dim_76,Dim_77,Dim_78,Dim_79
1,0.296603644,0.349825695,0.426526739,0.348481144,0.291966144,0.380371619,0.28618431,0.343521468,0.348352199,0.351985894,0.355636872,0.366489112,0.206956102,0.311849821,0.291696815,0.38576065,0.35298568,0.325815019,0.252270453,0.330597448,0.355856952,0.282950107,0.314284498,0.344408084,0.293162879,0.347777456,0.308026157,0.286270825,0.338344812,0.367833382,0.331496604,0.288591507,0.314262436,0.291759153,0.35961716,0.322360906,0.37967269,0.279614743,0.287846329,0.345975243,0.364307458,0.183727508,0.335118075,0.322026231,0.34817715,0.340871704,0.311172885,0.34602425,0.354144103,0.315663079,0.308752127,0.288135131,0.2932071,0.372626339,0.279119268,0.198922222,0.341885023,0.290616256,0.258014279,0.29005534,0.372352315,0.284355268,0.141067423,0.247762878,0.262486599,0.224194421,0.30428828,0.260481225,0.278614266,0.314909333,0.224802308,0.265288642,0.292241223,0.364951767,0.277678289,0.292879248,0.325588768,0.329105668,0.296246233,0.288490559
2,0.350075741,0.342003514,0.322125217,0.35677704,0.336553051,0.411359818,0.32326503,0.293027879,0.368422472,0.369012281,0.361799121,0.39247248,0.178521063,0.31379148,0.315155015,0.383820727,0.377303342,0.336612633,0.244531,0.35955297,0.344742221,0.282617176,0.351585333,0.394099152,0.349000039,0.362513609,0.369621509,0.367818862,0.361765963,0.384430389,0.347402265,0.332214603,0.354000105,0.366844748,0.379105686,0.317988135,0.404894418,0.302206143,0.306052091,0.353942119,0.361930729,0.205147794,0.389130134,0.35059372,0.336215958,0.333837447,0.32670101,0.388207128,0.354532747,0.397504206,0.375068193,0.371935305,0.312664918,0.378831262,0.315500994,0.203395517,0.400710473,0.340081771,0.298170035,0.341666404,0.313748399,0.306196056,0.147101595,0.272256027,0.297876515,0.231061755,0.318527704,0.257036395,0.344122115,0.283371743,0.2769125,0.313242095,0.279390026,0.310191462,0.327198414,0.273385504,0.36014157,0.342897015,0.260035143,0.252294768
4,0.324875506,0.352088278,0.401470871,0.359263644,0.324592866,0.367460457,0.321968577,0.334774741,0.364960061,0.332632507,0.366033792,0.356910122,0.196381649,0.33404857,0.309670229,0.389708271,0.32861229,0.343578278,0.270256919,0.338295439,0.35134649,0.300535714,0.3304777,0.338567062,0.31834847,0.332263773,0.32608285,0.30322769,0.335836909,0.364131186,0.322872989,0.297349907,0.317566394,0.2964356,0.354667556,0.328511228,0.370025882,0.288234182,0.298550114,0.351705169,0.342237153,0.208946577,0.309071806,0.350807176,0.348097876,0.321830263,0.295957439,0.342112807,0.353738733,0.319888527,0.307253757,0.292469326,0.306652549,0.358902325,0.305884793,0.197842382,0.336813179,0.294126846,0.27915321,0.293558712,0.397347747,0.357626299,0.163978937,0.265015037,0.276471788,0.256077244,0.335449145,0.337593827,0.287832235,0.304852362,0.2556579,0.318402075,0.315147796,0.375924072,0.317464962,0.283495421,0.341177384,0.339392881,0.324300685,0.305223169
5,0.339831589,0.357191329,0.387658086,0.332919116,0.334073741,0.388699324,0.328379995,0.319216021,0.357995871,0.360096566,0.341000711,0.374242064,0.199085924,0.329275261,0.312389116,0.379427279,0.366789972,0.326800881,0.257984661,0.346606105,0.345421926,0.279960713,0.30339781,0.360498255,0.323711111,0.356457655,0.334649354,0.303358647,0.343750667,0.333225203,0.337816052,0.269304171,0.325821769,0.318275747,0.357681681,0.314254391,0.386409904,0.282878592,0.285687514,0.322304137,0.362386548,0.221793687,0.333926302,0.325105647,0.328100507,0.303982168,0.319385029,0.358343403,0.351035965,0.330265156,0.316917881,0.314170765,0.314879151,0.373609806,0.309258014,0.195964802,0.364833673,0.26310275,0.262087325,0.285860043,0.352829669,0.325021269,0.165540211,0.294127593,0.277240508,0.267775917,0.344924525,0.282446847,0.281553684,0.338748804,0.240665779,0.298043161,0.31197543,0.354240742,0.316661474,0.336856437,0.314843975,0.335580066,0.307834332,0.274578315
7,0.343874033,0.375368913,0.313030655,0.284914811,0.337708539,0.419882178,0.328572479,0.271299026,0.344383868,0.392548258,0.291442389,0.401179686,0.165424866,0.316480708,0.305000212,0.385005958,0.415282473,0.297593709,0.247214179,0.340247362,0.333206711,0.267348599,0.298950301,0.384524059,0.339781528,0.387932546,0.322691006,0.327885575,0.373152463,0.294625488,0.35543941,0.275368313,0.335120844,0.345079792,0.364276085,0.264808518,0.41416353,0.304506133,0.282615279,0.278898187,0.382667532,0.221190115,0.396855098,0.28793756,0.284982122,0.257832075,0.368620783,0.394932906,0.349884106,0.35096433,0.328176363,0.304302483,0.303730526,0.394065137,0.307512862,0.158324875,0.403434952,0.268673663,0.265054308,0.333976483,0.333590111,0.335289579,0.160205715,0.303213815,0.311107988,0.300109713,0.341610824,0.272017554,0.288206972,0.311186626,0.239912285,0.302155739,0.233728221,0.354736818,0.333496265,0.339214955,0.290658938,0.290264712,0.244021208,0.258578078
8,0.299971983,0.359751262,0.347809657,0.317560724,0.296428773,0.35217224,0.289933513,0.29106747,0.321072925,0.330094646,0.323294977,0.345202488,0.181065728,0.310796142,0.286893181,0.357955285,0.338088293,0.301918035,0.256176371,0.299713791,0.323590919,0.261081891,0.302143112,0.318674106,0.290309932,0.332902915,0.311903298,0.286604221,0.327887328,0.315804621,0.314893608,0.262620894,0.295177228,0.2937177,0.312772773,0.29656224,0.35978862,0.2911105,0.2548955,0.315226663,0.343813075,0.192599262,0.349788383,0.317422966,0.308889503,0.290688017,0.333720203,0.338581642,0.324456505,0.309433327,0.304338453,0.290282354,0.277192367,0.344987905,0.273282073,0.179116456,0.327613628,0.257521203,0.2369705,0.301985121,0.338699751,0.285987087,0.157595747,0.266682441,0.275878247,0.283318952,0.318785702,0.257247788,0.289354225,0.315613768,0.243429998,0.299115776,0.256481676,0.336372751,0.307158448,0.33014147,0.288849803,0.316030212,0.251954019,0.273459241
9,0.282655423,0.344963221,0.382397938,0.347139552,0.286735739,0.297890444,0.290299305,0.305765063,0.33288386,0.267297136,0.354610415,0.290062555,0.169932046,0.299985293,0.270253661,0.364174769,0.268720393,0.315959242,0.255640694,0.282430062,0.303457767,0.260905441,0.283425846,0.263474627,0.279585155,0.279651376,0.298675063,0.256876263,0.295774941,0.325114619,0.26492429,0.242618004,0.259481481,0.25784024,0.281418829,0.319351221,0.30555632,0.259022246,0.236269882,0.357736486,0.290430414,0.194199148,0.267735566,0.307979209,0.343001536,0.299585864,0.268688322,0.27815002,0.307818263,0.276650184,0.259008607,0.26054075,0.265417152,0.299984073,0.264947164,0.176808015,0.27735053,0.235882797,0.238936804,0.25102412,0.407917,0.302273504,0.148572814,0.23947964,0.298076156,0.256049753,0.301993681,0.272952528,0.291806473,0.264198605,0.222233785,0.295672932,0.313078723,0.351762531,0.284909991,0.282627116,0.279631707,0.299024645,0.248588431,0.272316841
10,0.30875458,0.353736718,0.379445661,0.369521663,0.309283068,0.34640048,0.308430862,0.304600106,0.342028406,0.328429138,0.376221359,0.334858804,0.185930332,0.324140752,0.298070556,0.362999032,0.329361007,0.334630949,0.266213386,0.316488036,0.325057864,0.274304448,0.320078711,0.316905134,0.30600025,0.3251194,0.336907276,0.308883159,0.317633584,0.359401152,0.311681752,0.280119164,0.300112497,0.307239975,0.327768142,0.337160652,0.348143062,0.289234894,0.277991506,0.367343277,0.334230111,0.203167988,0.345996269,0.341913733,0.347956474,0.321909559,0.318342263,0.32098226,0.326466813,0.330248707,0.315873093,0.309535219,0.29020236,0.337698052,0.294570349,0.203511782,0.325910546,0.280893346,0.265818037,0.296046928,0.360463701,0.310153648,0.162706316,0.285294585,0.284123901,0.268473183,0.351988425,0.271498095,0.291901682,0.331106334,0.246052708,0.293022464,0.298588827,0.345535908,0.325729924,0.341528252,0.317738787,0.344326968,0.284672853,0.307689576
11,0.34087308,0.350577295,0.439348263,0.352103256,0.324423275,0.397088596,0.306014027,0.364685513,0.366893955,0.340779051,0.359119775,0.379865118,0.190613311,0.333085973,0.325185634,0.400449239,0.35463691,0.334836632,0.253478508,0.355177228,0.366926591,0.279799166,0.288064067,0.371968259,0.320520004,0.343626916,0.315983664,0.291258649,0.350667692,0.349292754,0.319712698,0.261226061,0.339847588,0.318189251,0.367378335,0.319963271,0.393088458,0.277155193,0.282249021,0.355153225,0.349857381,0.207972571,0.332670522,0.303877305,0.347578806,0.318241075,0.300958445,0.369319191,0.367650348,0.329885221,0.328356844,0.313152811,0.317957082,0.375927349,0.289893592,0.193111814,0.37383241,0.261579514,0.291707585,0.294288821,0.372340004,0.259377052,0.131591561,0.22665752,0.309728094,0.229400558,0.265466237,0.258602656,0.285048863,0.293952087,0.216528452,0.263340695,0.253608422,0.36305432,0.281596137,0.264954722,0.280447152,0.300200385,0.269020306,0.265631559
12,0.368662047,0.351974361,0.474129564,0.403761352,0.359170536,0.387874095,0.355116289,0.391333833,0.408068594,0.355378538,0.41256256,0.384796766,0.238099156,0.381034451,0.359518879,0.416879964,0.349726498,0.376338,0.276197694,0.391557023,0.392857258,0.313802247,0.345188951,0.362105874,0.34707225,0.367924907,0.378194706,0.333835257,0.369892686,0.399603994,0.34528212,0.316112845,0.358290692,0.352188399,0.392334331,0.378450457,0.388120149,0.298061779,0.337996101,0.406270428,0.369605325,0.238263964,0.365785084,0.362828555,0.407119991,0.382565397,0.315473735,0.351448384,0.396018783,0.364519639,0.361747857,0.355799334,0.35781024,0.374398023,0.338746165,0.241515198,0.367259772,0.31648424,0.32996206,0.304980896,0.34758629,0.331348145,0.171399602,0.292139898,0.260572285,0.231846788,0.324790534,0.256705161,0.32180686,0.348152546,0.245572356,0.278970735,0.31241194,0.366634811,0.335539246,0.308868952,0.370580328,0.392482508,0.342792778,0.259317772
13,0.287503722,0.385328524,0.374318299,0.291855987,0.286348811,0.400213299,0.287018448,0.310730651,0.288625626,0.376631689,0.297981817,0.389740641,0.181659982,0.298619973,0.271869788,0.362463318,0.417367512,0.25694806,0.247017397,0.268159433,0.346496291,0.270842562,0.289389182,0.342681591,0.30471234,0.39561947,0.30576042,0.315386682,0.390960219,0.307399893,0.340693122,0.275026441,0.293912144,0.356157021,0.323129029,0.278184348,0.396693211,0.32942388,0.245353761,0.298153751,0.387426273,0.182066797,0.436335541,0.294526258,0.28403348,0.28639484,0.39024794,0.372031255,0.357808838,0.366328717,0.336540056,0.318472968,0.267900117,0.3790232,0.275550189,0.179905993,0.390096801,0.278791594,0.259521304,0.349302175,0.400901995,0.275182804,0.142431931,0.304110461,0.238030567,0.267462947,0.285991146,0.23906427,0.320213511,0.324012778,0.211916242,0.237208655,0.251496237,0.321438331,0.270100305,0.325716618,0.28581313,0.270901727,0.242284455,0.227504212
